Unnamed: 0.1,Unnamed: 0,id,tweet_text,Sentiment,Sentiment2,Sentiment3,majority_sentiment,cleaned_text,hashtags,users_mentioned,processed_text
0,0,23395,"Unglaublich. Ich hatte  @JanJosefLiefers  noch gelobt, weil er Intensivstation besucht hatte. Das nehme ich zurück. Jetzt nutzt er den Besuch, um dem Staat Erpressung von Ungeimpften zu unterstellen. Er hat gar nichts dazu gelernt. Nori Soron ¯\_(ツ)_/¯ @NoriSoron  · 8. Okt. Widerlich. Er benutzt es um weiter zu hetzen.  #allesaufdentisch  #allesdichtmachen  #Liefers 3.384 2.760 20.113",2,2,2,2,unglaublich ich hatte noch gelobt weil er intensivstation besucht hatte das nehme ich zurück jetzt nutzt er den besuch um dem staat erpressung von ungeimpften zu unterstellen er hat gar nichts dazu gelernt nori soron okt widerlich er benutzt es um weiter zu hetzen #allesaufdentisch #allesdichtmachen #liefers,"['#allesaufdentisch', '#allesdichtmachen', '#liefers']","['janjosefliefers', 'norisoron']",unglaublich gelobt intensivstation besucht nehme zurück nutzt besuch staat erpressung ungeimpften unterstellen gar gelernt nori soron okt widerlich benutzt hetzen
1,1,29600,"Kicking of our  @EPPGroup  bureau meeting in Rome with  @Antonio_Tajani  and  @HerbertDorfmann  today. Important debates on agriculture, migration and jobs for next generations. #EPPRome21 #VerticePPE  @forza_italia  @SVP_Suedtirol 2 12 55",3,3,3,3,kicking of our bureau meeting in rome with and today important debates on agriculture migration and jobs for next generations #epprome #verticeppe,"['#epprome21', '#verticeppe']","['eppgroup', 'antonio_tajani', 'herbertdorfmann', 'forza_italia', 'svp_suedtirol']",kicking bureau meeting rome today important debates agriculture migration jobs next generations
2,2,47788,"Die Schulbürokratie hält mit der #Corona-Herausforderung nicht Schritt, die Finanzverwaltung wird in die Auszahlung der Hilfen nicht einbezogen. So geht Vertrauen in die Politik verloren zu einem Zeitpunkt, wo sie das Vertrauen der Bevölkerung besonders benötigt. (tm) #MerzMail 116 80 761",2,2,2,2,die schulbürokratie hält mit der #corona herausforderung nicht schritt die finanzverwaltung wird in die auszahlung der hilfen nicht einbezogen so geht vertrauen in die politik verloren zu einem zeitpunkt wo sie das vertrauen der bevölkerung besonders benötigt tm #merzmail,"['#corona', '#merzmail']",[],schulbürokratie hält herausforderung schritt finanzverwaltung auszahlung hilfen einbezogen vertrauen politik verloren zeitpunkt vertrauen bevölkerung besonders benötigt tm
3,3,44016,"""Es wird keine Individualisierung von Risiken geben. Das ist keine Sache, die den einzelnen Bürgerinnen und Bürgern zuzuschreiben ist, sondern es muss geholfen werden"", macht  @OlafScholz  in der Bundespressekonferenz deutlich. #Flutkatastrophe 7 8 71",3,3,3,3,es wird keine individualisierung von risiken geben das ist keine sache die den einzelnen bürgerinnen und bürgern zuzuschreiben ist sondern es muss geholfen werden macht in der bundespressekonferenz deutlich #flutkatastrophe,['#flutkatastrophe'],['olafscholz'],individualisierung risiken geben sache einzelnen bürgerinnen bürgern zuzuschreiben geholfen macht bundespressekonferenz deutlich
4,4,35878,"""Diese Regierung hat das Vertrauen der Bevölkerung komplett verloren! Es ist Zeit für die Vertrauensfrage hier im Parlament."" #Osterlockdown #MerkelMussWeg #AfD 0:33 1.260 Mal angezeigt 18 48 184",2,2,2,2,diese regierung hat das vertrauen der bevölkerung komplett verloren es ist zeit für die vertrauensfrage hier im parlament #osterlockdown #merkelmussweg #afd mal angezeigt,"['#osterlockdown', '#merkelmussweg', '#afd']",[],regierung vertrauen bevölkerung komplett verloren vertrauensfrage parlament
5,5,27825,"Unsere Migrationspolitik muss ethischen Ansprüchen nicht nur der Absicht nach, sondern auch im Ergebnis gerecht werden. Über #Migration, #Rechtsstaat & #Europa habe ich mit  @manuelbewarder  &  @LeubecherX  gesprochen.  @welt welt.de Teuteberg zu Migration: „Von Kontrolle keine Rede“ - WELT Linda Teuteberg hält Europas Versuche, die Migration zu steuern, für gescheitert. Im Interview kritisiert die migrationspolitische Sprecherin der FDP die Zurückhaltung der Bundesregierung – und wirft... 8 39 238",2,2,3,2,unsere migrationspolitik muss ethischen ansprüchen nicht nur der absicht nach sondern auch im ergebnis gerecht werden über #migration #rechtsstaat #europa habe ich mit gesprochen welt de teuteberg zu migration von kontrolle keine rede welt linda teuteberg hält europas versuche die migration zu steuern für gescheitert im interview kritisiert die migrationspolitische sprecherin der fdp die zurückhaltung der bundesregierung und wirft,"['#migration', '#rechtsstaat', '#europa']","['manuelbewarder', 'leubecherx', 'welt']",migrationspolitik ethischen ansprüchen absicht ergebnis gerecht gesprochen welt teuteberg migration kontrolle rede welt linda teuteberg hält europas versuche migration steuern gescheitert interview kritisiert migrationspolitische sprecherin fdp zurückhaltung bundesregierung wirft
6,6,43248,Frankfurter Allgemeine gesamt @FAZ_NET  · 7. März 2021 Die beiden SPD-Minister wollen den Mindestlohn auf zwölf Euro anheben. In einem gemeinsamen Eckpunktepapier kündigen sie zudem ein Bundestariftreuegesetz an. http://faz.net/aktuell/wirtschaft/eckpunkte-papier-so-wollen-heil-und-scholz-den-mindestlohn-hochtreiben-17232532.html… 6 8 61,3,3,3,3,frankfurter allgemeine gesamt märz die beiden spd minister wollen den mindestlohn auf zwölf euro anheben in einem gemeinsamen eckpunktepapier kündigen sie zudem ein bundestariftreuegesetz an,[],['faz_net'],frankfurter allgemeine gesamt beiden spd minister mindestlohn zwölf euro anheben gemeinsamen eckpunktepapier kündigen zudem bundestariftreuegesetz
7,7,23764,Tyler Kingkade @tylerkingkade  · 6. Jan. 2021 MAGA protesters are spraying pepper spray back at police on Capitol Hill https://twitter.com/KBoomhauer/status/1346883995410132992/video/1… 9 3 22,3,2,3,3,tyler kingkade jan maga protesters are spraying pepper spray back at police on capitol hill,[],['tylerkingkade'],tyler kingkade maga protesters spraying pepper spray back police capitol hill
8,8,45588,"#Deutschland #Staatsfunk WDR aktuell @WDRaktuell  · 13. Juli 2021 Die EU-Finanzminister haben grünes Licht für die Investitionsprogramme von zwölf Mitgliedsstaaten gegeben. Mit gut 750 Milliarden Euro an EU-Mitteln soll die Coronakrise bewältigt werden. Am meisten profitieren davon Spanien, Italien und Deutschland. Diesen Thread anzeigen 15 9 32",1,1,3,1,#deutschland #staatsfunk wdr aktuell juli die eu finanzminister haben grünes licht für die investitionsprogramme von zwölf mitgliedsstaaten gegeben mit gut milliarden euro an eu mitteln soll die coronakrise bewältigt werden am meisten profitieren davon spanien italien und deutschland diesen thread anzeigen,"['#deutschland', '#staatsfunk']",['wdraktuell'],wdr aktuell juli eu finanzminister grünes licht investitionsprogramme zwölf mitgliedsstaaten gegeben milliarden euro eu mitteln coronakrise bewältigt meisten profitieren davon spanien italien deutschland
9,9,42624,". @KaczmarekOliver : ""Diese BAföG-Zahlen sind dramatisch."" Und sie gehen auf das Konto von Frau Karliczek.  @OlafScholz  hatte #BAföG-Mittel für eine echte Trendwende bereitgestellt - doch #Karliczek ließ sie liegen, forderte stattdessen eine Weiterentwicklung in der nächsten WP.  Statistisches Bundesamt @destatis  · 5. Aug. #BAföG: Im Jahr 2020 gab es 6 % weniger Geförderte als im Vorjahr. Die Ausgaben für BAföG-Leistungen stiegen jedoch um 9,2 % auf rund 2,9 Milliarden Euro. Mehr dazu: https://destatis.de/DE/Presse/Pressemitteilungen/2021/08/PD21_369_214.html… 1 8 26",2,2,2,2,diese bafög zahlen sind dramatisch und sie gehen auf das konto von frau karliczek hatte #bafög mittel für eine echte trendwende bereitgestellt doch #karliczek ließ sie liegen forderte stattdessen eine weiterentwicklung in der nächsten wp statistisches bundesamt aug #bafög im jahr gab es weniger geförderte als im vorjahr die ausgaben für bafög leistungen stiegen jedoch um auf rund milliarden euro mehr dazu,"['#bafög', '#karliczek', '#bafög']","['kaczmarekoliver', 'olafscholz', 'destatis']",bafög zahlen dramatisch gehen konto frau karliczek mittel echte trendwende bereitgestellt ließ liegen forderte stattdessen weiterentwicklung nächsten wp statistisches bundesamt jahr gab weniger geförderte vorjahr ausgaben bafög leistungen stiegen jedoch milliarden euro
